,player_name,age,player_height,player_weight,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary_cap,africa,asia,australia_oceania,europe,north_america,south_america,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,experience,salary
0,Tyronn Lue,29.0,182.88,80.73937600000001,1,23,51,11.0,1.6,3.1,-2.9,0.012,0.069,0.206,0.585,0.225,2006,71839551,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3500000.0
1,T.J. Ford,23.0,182.88,74.84268,1,8,72,12.2,4.3,6.6,-0.4,0.0289999999999999,0.118,0.1989999999999999,0.489,0.298,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2303040.0
2,Tayshaun Prince,26.0,205.74,97.52228,1,23,82,14.1,4.2,2.3,12.0,0.042,0.099,0.198,0.524,0.106,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1763115.0
3,Terence Morris,27.0,205.74,100.243832,2,33,22,1.6,1.7,0.2,-0.8,0.038,0.212,0.138,0.348,0.034,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,835810.0
4,Theo Ratliff,33.0,208.28,106.59412,1,18,55,4.9,5.1,0.5,-8.9,0.084,0.173,0.099,0.599,0.036,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,11666666.0
5,Tim Duncan,30.0,210.82,117.93392,1,1,80,18.6,11.0,3.2,9.5,0.1,0.267,0.2769999999999999,0.523,0.162,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,15845156.0
7,Toni Kukoc,37.0,210.82,106.59412,2,29,65,4.9,2.3,2.1,-4.3,0.0289999999999999,0.15,0.173,0.491,0.209,2006,71839551,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2000000.0
8,Tony Allen,24.0,193.04,96.615096,1,25,51,7.2,2.2,1.3,-2.6,0.042,0.098,0.188,0.5539999999999999,0.119,2006,71839551,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,969696.0
9,Tony Battie,30.0,210.82,108.86208,1,5,82,7.9,5.6,0.6,-2.1,0.084,0.168,0.152,0.531,0.035,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,5200000.0
10,Viktor Khryapa,23.0,205.74,95.25432,1,22,69,5.8,4.4,1.3,-11.1,0.094,0.168,0.151,0.516,0.094,2006,71839551,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1095960.0
11,Trenton Hassell,27.0,195.58,90.7184,2,29,77,9.2,2.8,2.6,-2.1,0.0409999999999999,0.063,0.155,0.512,0.129,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4350000.0
12,Travis Outlaw,21.0,203.2,99.79024,1,23,69,5.8,2.7,0.5,-12.5,0.047,0.142,0.184,0.491,0.055,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1082160.0
13,Travis Diener,24.0,185.42,79.3786,2,38,23,3.8,0.9,0.7,-13.7,0.017,0.086,0.149,0.614,0.126,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,398762.0
15,Tracy McGrady,27.0,203.2,95.25432,1,9,47,24.4,6.5,4.8,1.1,0.031,0.173,0.344,0.494,0.268,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15694250.0
